id,course,module,instance,completion,added,sequence,component,content_type,topic
1,1,1,1,1,1707109200,1,mod_quiz,Ödev,Temel Kavramlar
2,1,2,2,1,1707109200,2,mod_url,İzleme,Değişkenler ve Veri Tipleri
3,1,3,3,1,1707109200,3,mod_page,Okuma,Kontrol Akışı
4,1,4,4,1,1707109200,4,mod_page,Okuma,Döngüler
5,1,5,5,1,1707109200,5,mod_forum,Forum,Fonksiyonlar
6,1,6,6,1,1707109200,6,mod_folder,Okuma,Listeler ve Diziler
7,1,7,7,1,1707109200,7,mod_book,Okuma,Sözlükler ve Kümeler
8,1,8,8,1,1707109200,8,mod_lesson,İzleme,Nesne Yönelimli Programlama
9,1,9,9,1,1707109200,9,mod_quiz,Ödev,Hata Yönetimi
10,1,10,10,1,1707109200,10,mod_resource,Okuma,Dosya İşlemleri
11,1,11,11,1,1707109200,11,mod_lesson,İzleme,Modüller ve Paketler
12,1,12,12,1,1707109200,12,mod_forum,Forum,Veritabanı Erişimi
13,1,13,13,1,1707109200,13,mod_bigbluebuttonbn,İzleme,Web API Kullanımı
14,1,14,14,1,1707109200,14,mod_url,İzleme,Test ve Debugging
15,1,15,15,1,1707109200,15,mod_url,İzleme,Proje Uygulaması
16,2,1,16,1,1707109200,1,mod_page,Okuma,Temel Kavramlar
17,2,2,17,1,1707109200,2,mod_lesson,İzleme,Değişkenler ve Veri Tipleri
18,2,3,18,1,1707109200,3,mod_workshop,Ödev,Kontrol Akışı
19,2,4,19,1,1707109200,4,mod_book,Okuma,Döngüler
20,2,5,20,1,1707109200,5,mod_resource,Okuma,Fonksiyonlar
21,2,6,21,1,1707109200,6,mod_url,İzleme,Listeler ve Diziler
22,2,7,22,1,1707109200,7,mod_book,Okuma,Sözlükler ve Kümeler
23,2,8,23,1,1707109200,8,mod_lesson,İzleme,Nesne Yönelimli Programlama
24,2,9,24,1,1707109200,9,mod_forum,Forum,Hata Yönetimi
25,2,10,25,1,1707109200,10,mod_resource,Okuma,Dosya İşlemleri
26,2,11,26,1,1707109200,11,mod_book,Okuma,Modüller ve Paketler
27,2,12,27,1,1707109200,12,mod_url,İzleme,Veritabanı Erişimi
