id,userid,itemid,finalgrade,timemodified,source
1,13,16,56.74,1709611200,teacher
2,34,16,60.88,1709611200,teacher
3,43,16,45.1,1709611200,teacher
4,58,16,62.1,1709611200,teacher
5,80,16,43.34,1709611200,teacher
6,95,16,75.11,1709611200,teacher
7,135,16,60.15,1709611200,teacher
8,139,16,92.72,1709611200,teacher
9,223,16,61.69,1709611200,teacher
10,275,16,2.12,1709611200,teacher
11,295,16,44.0,1709611200,teacher
12,300,16,20.88,1709611200,teacher
13,359,16,71.96,1709611200,teacher
14,382,16,48.24,1709611200,teacher
15,397,16,78.48,1709611200,teacher
16,411,16,5.38,1709611200,teacher
17,412,16,39.89,1709611200,teacher
18,439,16,68.29,1709611200,teacher
19,450,16,88.2,1709611200,teacher
20,453,16,53.09,1709611200,teacher
21,459,16,25.52,1709611200,teacher
22,599,16,0.0,1709611200,teacher
23,634,16,57.25,1709611200,teacher
24,661,16,61.16,1709611200,teacher
25,665,16,60.49,1709611200,teacher
26,672,16,64.54,1709611200,teacher
27,675,16,67.26,1709611200,teacher
28,715,16,51.11,1709611200,teacher
29,750,16,50.55,1709611200,teacher
30,789,16,46.94,1709611200,teacher
31,803,16,25.08,1709611200,teacher
32,824,16,54.73,1709611200,teacher
33,853,16,18.74,1709611200,teacher
34,877,16,60.73,1709611200,teacher
35,902,16,51.91,1709611200,teacher
36,935,16,93.01,1709611200,teacher
37,979,16,74.5,1709611200,teacher
38,982,16,48.42,1709611200,teacher
39,1010,16,68.34,1709611200,teacher
40,1039,16,77.13,1709611200,teacher
41,1044,16,56.28,1709611200,teacher
42,1051,16,62.74,1709611200,teacher
43,1068,16,27.24,1709611200,teacher
44,1088,16,37.96,1709611200,teacher
45,1092,16,35.56,1709611200,teacher
46,1113,16,16.89,1709611200,teacher
47,1118,16,27.06,1709611200,teacher
48,1144,16,58.89,1709611200,teacher
49,1167,16,13.8,1709611200,teacher
50,1169,16,7.53,1709611200,teacher
51,1207,16,40.86,1709611200,teacher
52,1212,16,12.56,1709611200,teacher
53,1238,16,72.62,1709611200,teacher
54,1266,16,47.58,1709611200,teacher
55,1320,16,42.19,1709611200,teacher
56,1339,16,27.16,1709611200,teacher
57,1347,16,64.23,1709611200,teacher
58,1351,16,53.56,1709611200,teacher
59,1355,16,47.21,1709611200,teacher
60,1377,16,50.48,1709611200,teacher
61,1387,16,51.47,1709611200,teacher
62,1400,16,76.18,1709611200,teacher
63,1469,16,56.51,1709611200,teacher
64,1492,16,64.7,1709611200,teacher
65,1495,16,59.86,1709611200,teacher
66,1543,16,78.38,1709611200,teacher
67,1550,16,66.93,1709611200,teacher
68,1553,16,67.08,1709611200,teacher
69,1600,16,71.49,1709611200,teacher
70,1648,16,37.5,1709611200,teacher
71,1715,16,71.53,1709611200,teacher
72,1716,16,29.24,1709611200,teacher
73,1720,16,20.38,1709611200,teacher
74,1727,16,67.85,1709611200,teacher
75,1777,16,44.02,1709611200,teacher
76,1802,16,49.76,1709611200,teacher
77,1903,16,46.33,1709611200,teacher
78,1961,16,43.49,1709611200,teacher
79,1965,16,56.13,1709611200,teacher
80,1967,16,61.52,1709611200,teacher
81,1979,16,25.97,1709611200,teacher
82,1999,16,55.43,1709611200,teacher
83,34,17,48.86,1709352000,teacher
84,58,17,71.97,1709352000,teacher
85,80,17,48.13,1709352000,teacher
86,95,17,67.18,1709352000,teacher
87,113,17,62.5,1709352000,teacher
88,135,17,73.49,1709352000,teacher
89,139,17,45.24,1709352000,teacher
90,295,17,44.38,1709352000,teacher
91,300,17,69.35,1709352000,teacher
92,301,17,74.5,1709352000,teacher
93,333,17,30.09,1709352000,teacher
94,359,17,66.39,1709352000,teacher
95,386,17,11.7,1709352000,teacher
96,397,17,47.9,1709352000,teacher
97,411,17,87.47,1709352000,teacher
98,412,17,19.18,1709352000,teacher
99,418,17,30.83,1709352000,teacher
100,439,17,35.33,1709352000,teacher
101,453,17,0.0,1709352000,teacher
102,464,17,67.16,1709352000,teacher
103,466,17,48.53,1709352000,teacher
104,612,17,39.75,1709352000,teacher
105,631,17,0.0,1709352000,teacher
106,634,17,67.52,1709352000,teacher
107,661,17,45.41,1709352000,teacher
108,665,17,58.44,1709352000,teacher
109,672,17,68.84,1709352000,teacher
110,724,17,25.68,1709352000,teacher
111,749,17,54.8,1709352000,teacher
112,829,17,20.97,1709352000,teacher
113,858,17,25.51,1709352000,teacher
114,902,17,66.17,1709352000,teacher
115,930,17,37.47,1709352000,teacher
116,976,17,91.25,1709352000,teacher
117,977,17,76.55,1709352000,teacher
118,979,17,56.24,1709352000,teacher
119,981,17,28.94,1709352000,teacher
120,990,17,45.42,1709352000,teacher
121,1010,17,54.07,1709352000,teacher
122,1034,17,17.86,1709352000,teacher
123,1039,17,69.47,1709352000,teacher
124,1043,17,57.48,1709352000,teacher
125,1051,17,20.4,1709352000,teacher
126,1062,17,24.6,1709352000,teacher
127,1068,17,84.97,1709352000,teacher
128,1088,17,51.07,1709352000,teacher
129,1104,17,17.05,1709352000,teacher
130,1128,17,47.58,1709352000,teacher
131,1129,17,62.49,1709352000,teacher
132,1167,17,71.47,1709352000,teacher
133,1190,17,46.93,1709352000,teacher
134,1212,17,57.26,1709352000,teacher
135,1238,17,77.02,1709352000,teacher
136,1266,17,59.01,1709352000,teacher
137,1331,17,28.37,1709352000,teacher
138,1347,17,71.53,1709352000,teacher
139,1351,17,21.24,1709352000,teacher
140,1366,17,68.84,1709352000,teacher
141,1387,17,51.9,1709352000,teacher
142,1400,17,70.34,1709352000,teacher
143,1413,17,51.55,1709352000,teacher
144,1430,17,61.74,1709352000,teacher
145,1432,17,50.88,1709352000,teacher
146,1466,17,29.6,1709352000,teacher
147,1469,17,60.07,1709352000,teacher
148,1543,17,51.66,1709352000,teacher
149,1550,17,78.0,1709352000,teacher
150,1577,17,28.57,1709352000,teacher
151,1600,17,82.37,1709352000,teacher
152,1715,17,55.06,1709352000,teacher
153,1716,17,71.38,1709352000,teacher
154,1720,17,57.83,1709352000,teacher
155,1777,17,55.07,1709352000,teacher
156,1870,17,38.07,1709352000,teacher
157,1884,17,40.58,1709352000,teacher
158,1903,17,79.47,1709352000,teacher
159,1905,17,45.94,1709352000,teacher
160,1967,17,39.97,1709352000,teacher
161,1979,17,74.84,1709352000,teacher
162,1999,17,0.0,1709352000,teacher
163,13,18,20.08,1709524800,teacher
