id,userid,courseid,component,action,objectid,timecreated,_week
1,13,5,mod_book,attempt,62,1707408727,1
2,13,7,mod_page,view,101,1707420953,1
3,13,9,mod_book,view,134,1707496020,1
4,13,9,mod_page,attempt,123,1707400968,1
5,13,14,mod_book,view,203,1707654841,1
6,13,8,mod_resource,view,113,1707270244,1
7,13,9,mod_page,submit,123,1707754221,1
8,13,8,mod_lesson,view,108,1707214713,1
9,13,8,mod_lesson,attempt,108,1707300356,1
10,13,5,mod_page,view,72,1707733131,1
11,13,11,mod_resource,view,156,1707580161,1
12,13,15,mod_lesson,attempt,224,1707437708,1
13,19,6,mod_resource,view,84,1707332297,1
14,19,10,mod_bigbluebuttonbn,view,150,1707315957,1
15,23,8,mod_resource,view,115,1707638164,1
16,24,11,mod_resource,view,157,1707369310,1
17,24,3,mod_book,view,44,1707188760,1
18,24,7,mod_page,view,101,1707448322,1
19,24,12,mod_resource,attempt,173,1707444025,1
20,24,2,mod_page,view,16,1707388403,1
21,24,12,mod_url,submit,179,1707268573,1
22,24,1,mod_book,view,7,1707182554,1
23,24,7,mod_resource,view,92,1707744335,1
24,34,8,mod_book,view,106,1707509690,1
25,34,14,mod_url,submit,209,1707448366,1
26,43,3,mod_page,view,40,1707405646,1
27,43,6,mod_page,view,85,1707268607,1
28,43,9,mod_lesson,attempt,121,1707536684,1
29,43,9,mod_lesson,view,121,1707596531,1
30,43,8,mod_book,attempt,106,1707371821,1
31,43,6,mod_book,view,90,1707468449,1
32,43,14,mod_lesson,view,204,1707431914,1
33,53,12,mod_book,view,180,1707431609,1
34,53,9,mod_book,view,129,1707528222,1
35,53,12,mod_resource,view,166,1707643029,1
36,53,2,mod_url,view,21,1707347203,1
37,53,13,mod_page,submit,194,1707203854,1
38,53,12,mod_folder,view,175,1707513987,1
39,53,5,mod_folder,view,73,1707686808,1
40,53,14,mod_url,view,201,1707274890,1
41,53,4,mod_book,view,50,1707418316,1
42,53,5,mod_bigbluebuttonbn,submit,74,1707670288,1
