id,quiz,userid,uniqueid,timestart,timefinish,sumgrades,state,duration_minutes
1,1,8,1,1709220026,1709222400,11.5,finished,39.56
2,1,13,2,1709220033,1709222241,47.6,finished,36.81
3,1,19,3,1709221504,1709222400,48.1,finished,14.92
4,1,32,4,1709221218,1709222211,27.5,finished,16.54
5,1,34,5,1709219551,1709222400,70.6,finished,47.48
6,1,43,6,1709220841,1709222400,24.9,finished,25.97
7,1,45,7,1709222022,1709222400,46.1,finished,6.29
8,1,53,8,1709218853,1709221201,19.8,finished,39.14
9,1,55,9,1709219184,1709220802,27.7,finished,26.96
10,1,58,10,1709222016,1709222400,63.5,finished,6.39
11,1,73,11,1709219789,1709221721,13.0,finished,32.19
12,1,83,12,1709219558,1709222400,38.1,finished,47.36
13,1,95,13,1709219441,1709222001,67.1,finished,42.66
14,1,96,14,1709220524,1709222400,40.3,finished,31.26
15,1,113,15,1709221673,1709222400,76.3,finished,12.11
16,1,118,16,1709221740,1709222400,46.7,finished,10.98
17,1,132,17,1709221656,1709222400,30.7,finished,12.4
18,1,135,18,1709219185,1709222091,52.7,finished,48.44
19,1,139,19,1709219764,1709221820,27.8,finished,34.26
20,1,178,20,1709220558,1709222400,21.6,finished,30.69
21,1,186,21,1709221220,1709222400,42.8,finished,19.65
22,1,189,22,1709220673,1709222400,63.2,finished,28.78
23,1,194,23,1709218808,1709220188,39.0,finished,23.0
24,1,198,24,1709222089,1709222400,13.4,finished,5.18
25,1,202,25,1709220534,1709221884,14.0,finished,22.5
26,1,214,26,1709221809,1709222400,54.9,finished,9.83
27,1,223,27,1709220776,1709222400,50.9,finished,27.07
28,1,224,28,1709219139,1709220883,9.2,finished,29.06
29,1,235,29,1709221402,1709222204,28.8,finished,13.37
30,1,246,30,1709220152,1709221072,8.7,finished,15.33
31,1,257,31,1709221123,1709222400,38.7,finished,21.28
32,1,275,32,1709219024,1709221021,47.1,finished,33.28
33,1,279,33,1709220085,1709220955,11.9,finished,14.51
34,1,297,34,1709221120,1709222162,13.3,finished,17.37
35,1,298,35,1709219598,1709221507,52.7,finished,31.8
36,1,300,36,1709219276,1709220672,55.2,finished,23.27
37,1,301,37,1709220572,1709222400,59.1,finished,30.46
38,1,305,38,1709220675,1709222034,25.4,finished,22.65
39,1,334,39,1709219987,1709221497,36.2,finished,25.18
40,1,340,40,1709219422,1709221701,13.0,finished,37.98
41,1,357,41,1709221742,1709222400,65.3,finished,10.96
42,1,358,42,1709219795,1709221935,17.2,finished,35.67
43,1,359,43,1709221217,1709222400,58.1,finished,19.71
44,1,370,44,1709221394,1709222008,18.2,finished,10.24
45,1,380,45,1709221020,1709222391,58.7,finished,22.85
46,1,382,46,1709221673,1709222400,16.2,finished,12.11
47,1,383,47,1709218867,1709220698,51.1,finished,30.52
48,1,388,48,1709220843,1709222003,29.4,finished,19.34
49,1,397,49,1709221157,1709222400,33.5,finished,20.71
50,1,403,50,1709221020,1709222400,29.2,finished,22.99
51,1,405,51,1709219038,1709220422,10.1,finished,23.07
52,1,406,52,1709221882,1709222400,33.5,finished,8.62
53,1,408,53,1709222308,1709222400,76.2,finished,1.53
54,1,411,54,1709219967,1709222400,32.3,finished,40.55
55,1,412,55,1709218838,1709221154,49.9,finished,38.6
56,1,418,56,1709219644,1709222034,38.5,finished,39.85
57,1,430,57,1709220527,1709221915,58.0,finished,23.13
58,1,432,58,1709220453,1709222400,41.5,finished,32.44
59,1,439,59,1709220129,1709222400,54.3,finished,37.84
60,1,447,60,1709219196,1709220729,43.2,finished,25.55
61,1,452,61,1709218969,1709219772,15.4,finished,13.39
62,1,453,62,1709221391,1709222400,46.7,finished,16.81
63,1,459,63,1709221612,1709222400,64.0,finished,13.12
64,1,464,64,1709219504,1709222336,53.5,finished,47.21
65,1,468,65,1709219169,1709220938,23.8,finished,29.48
66,1,470,66,1709220349,1709222400,86.7,finished,34.17
67,1,501,67,1709220409,1709222297,19.8,finished,31.47
68,1,502,68,1709220981,1709222400,44.6,finished,23.64
69,1,506,69,1709222290,1709222400,49.3,finished,1.82
70,1,531,70,1709220275,1709222400,20.6,finished,35.41
71,1,544,71,1709219062,1709221342,19.3,finished,38.01
72,1,554,72,1709221270,1709222400,43.4,finished,18.82
73,1,572,73,1709219992,1709222294,57.6,finished,38.35
74,1,603,74,1709221419,1709222400,21.4,finished,16.33
75,1,612,75,1709221847,1709222400,45.5,finished,9.21
76,1,614,76,1709219012,1709221064,19.2,finished,34.19
77,1,617,77,1709220284,1709222050,37.1,finished,29.43
78,1,631,78,1709221715,1709222400,21.6,finished,11.4
79,1,634,79,1709218898,1709221086,67.8,finished,36.47
80,1,655,80,1709220218,1709222400,25.1,finished,36.36
81,1,657,81,1709220712,1709221553,30.7,finished,14.0
82,1,661,82,1709219944,1709222400,48.3,finished,40.93
83,1,662,83,1709219507,1709221528,34.4,finished,33.69
84,1,672,84,1709221906,1709222400,67.9,finished,8.22
85,1,675,85,1709222229,1709222400,77.9,finished,2.84
86,1,688,86,1709221781,1709222400,4.1,finished,10.3
87,1,692,87,1709221246,1709222400,31.9,finished,19.22
88,1,695,88,1709221079,1709222400,24.1,finished,22.01
89,1,704,89,1709219001,1709221024,8.3,finished,33.73
90,1,711,90,1709220275,1709221577,29.0,finished,21.71
91,1,713,91,1709220662,1709222400,66.0,finished,28.96
